"","DatabaseID","ratingType","condition","Sent","rep","Count","M","SD"
"158","Sub12","Int","lessClear","ksent","3",3,2,3.46410161513775
"159","Sub12","Int","lessClear","ksent","4",3,22.3333333333333,38.6824680357049
"160","Sub12","Int","lessClear","ksent","5",3,0.333333333333333,0.577350269189626
"161","Sub12","Int","lessClear","tsent","1",4,17.25,26.6630205840724
"162","Sub12","Int","lessClear","tsent","2",2,24,32.5269119345812
"163","Sub12","Int","lessClear","tsent","3",4,15.25,10.9658560997307
"164","Sub12","Int","lessClear","tsent","4",3,14.3333333333333,24.8260615751539
"165","Sub12","Int","lessClear","tsent","5",3,4.33333333333333,3.78593889720018
"166","Sub12","Int","moreClear","bsent","1",3,72.3333333333333,29.6704117486316
"167","Sub12","Int","moreClear","bsent","2",5,93.8,9.06642156531451
"168","Sub12","Int","moreClear","bsent","3",3,94,10.3923048454133
"169","Sub12","Int","moreClear","bsent","4",3,46,30.5122926047847
"170","Sub12","Int","moreClear","bsent","5",4,61,45.2179905199984
"171","Sub12","Int","moreClear","ksent","1",4,26,28.6937856222098
"172","Sub12","Int","moreClear","ksent","2",4,7.5,8.22597511950204
"173","Sub12","Int","moreClear","ksent","3",3,38.6666666666667,53.7152988759565
"174","Sub12","Int","moreClear","ksent","4",3,22,38.1051177665153
"175","Sub12","Int","moreClear","ksent","5",3,0.333333333333333,0.577350269189626
"176","Sub12","Int","moreClear","tsent","1",4,40,44.392191505564
"177","Sub12","Int","moreClear","tsent","2",2,37.5,21.920310216783
"178","Sub12","Int","moreClear","tsent","3",4,35.5,34.4625400495475
"179","Sub12","Int","moreClear","tsent","4",3,25,43.3012701892219
"180","Sub12","Int","moreClear","tsent","5",3,5.66666666666667,3.21455025366432
"181","Sub13","AP","conv","bsent","1",4,89.5,8.81286937760152
"182","Sub13","AP","conv","bsent","2",3,68,6.557438524302
"183","Sub13","AP","conv","bsent","3",3,60,39.0384425918863
"184","Sub13","AP","conv","bsent","4",3,81.6666666666667,31.7542648054294
"185","Sub13","AP","conv","bsent","5",2,93,5.65685424949238
"186","Sub13","AP","conv","ksent","1",3,74.3333333333333,30.6159000085468
"187","Sub13","AP","conv","ksent","2",3,69,25.2388589282479
"188","Sub13","AP","conv","ksent","3",3,74.6666666666667,18.5831464863551
"189","Sub13","AP","conv","ksent","4",4,70.75,6.23832242407097
"190","Sub13","AP","conv","ksent","5",3,60.6666666666667,16.4418166068514
"191","Sub13","AP","conv","tsent","1",3,75.6666666666667,11.0151410945722
"192","Sub13","AP","conv","tsent","2",3,91.6666666666667,5.85946527708232
"193","Sub13","AP","conv","tsent","3",3,81.3333333333333,18.0369990112916
"194","Sub13","AP","conv","tsent","4",4,71.5,43.9431450854397
"195","Sub13","AP","conv","tsent","5",4,64.25,24.0606871611487
"196","Sub13","AP","lessClear","bsent","1",4,78.75,18.9274932307477
"197","Sub13","AP","lessClear","bsent","2",3,58,19.2873015219859
"198","Sub13","AP","lessClear","bsent","3",3,55,49.5075751779463
"199","Sub13","AP","lessClear","bsent","4",3,79,36.3730669589464
"200","Sub13","AP","lessClear","bsent","5",2,68.5,16.2634559672906
"201","Sub13","AP","lessClear","ksent","1",3,53.3333333333333,33.2315111503123
"202","Sub13","AP","lessClear","ksent","2",3,43,36.428011200174
"203","Sub13","AP","lessClear","ksent","3",3,56.3333333333333,33.0807093837683
"204","Sub13","AP","lessClear","ksent","4",4,44.5,14.247806848775
"205","Sub13","AP","lessClear","ksent","5",3,32.3333333333333,17.8978583448784
"206","Sub13","AP","lessClear","tsent","1",3,57.6666666666667,15.0443787951957
"207","Sub13","AP","lessClear","tsent","2",3,65.3333333333333,31.5330514434194
"208","Sub13","AP","lessClear","tsent","3",3,83.3333333333333,9.71253485622231
"209","Sub13","AP","lessClear","tsent","4",4,66.5,44.5009363197375
"210","Sub13","AP","lessClear","tsent","5",4,63.75,26.9366540857125
"211","Sub13","AP","moreClear","bsent","1",4,96.75,6.5
"212","Sub13","AP","moreClear","bsent","2",3,72,24.2693221990232
"213","Sub13","AP","moreClear","bsent","3",3,90.3333333333333,16.7431578064991
"214","Sub13","AP","moreClear","bsent","4",3,92.3333333333333,13.2790561913614
"215","Sub13","AP","moreClear","bsent","5",2,96,5.65685424949238
"216","Sub13","AP","moreClear","ksent","1",3,94.6666666666667,4.72581562625261
"217","Sub13","AP","moreClear","ksent","2",3,86.3333333333333,8.32666399786453
"218","Sub13","AP","moreClear","ksent","3",3,73.3333333333333,18.0092568789868
"219","Sub13","AP","moreClear","ksent","4",4,73,28.5073090043004
"220","Sub13","AP","moreClear","ksent","5",3,77.6666666666667,20.1080415091409
"221","Sub13","AP","moreClear","tsent","1",3,65.6666666666667,35.2325606979302
"222","Sub13","AP","moreClear","tsent","2",3,94.6666666666667,4.16333199893227
"223","Sub13","AP","moreClear","tsent","3",3,87.3333333333333,11.0151410945722
"224","Sub13","AP","moreClear","tsent","4",4,94,6.97614984548545
"225","Sub13","AP","moreClear","tsent","5",4,90,15.1437555888007
"226","Sub13","Int","conv","bsent","1",4,99.25,1.5
"227","Sub13","Int","conv","bsent","2",6,77.1666666666667,15.1712447303004
"228","Sub13","Int","conv","bsent","3",4,87,23.3666428910958
"229","Sub13","Int","conv","bsent","4",4,87.75,21.2974959404465
"230","Sub13","Int","conv","bsent","5",4,100,0
"231","Sub13","Int","conv","ksent","1",4,83.25,17.7270979012358
"232","Sub13","Int","conv","ksent","2",3,95,8.66025403784439
"233","Sub13","Int","conv","ksent","3",2,100,0
"234","Sub13","Int","conv","ksent","4",2,86.5,10.6066017177982
"235","Sub13","Int","conv","ksent","5",4,66.75,43.7521428046673
"236","Sub13","Int","conv","tsent","1",3,82.6666666666667,21.9393102292058
"237","Sub13","Int","conv","tsent","2",3,88.6666666666667,12.6622799421484
"238","Sub13","Int","conv","tsent","3",3,94.3333333333333,9.81495457622364
"239","Sub13","Int","conv","tsent","4",3,86,24.2487113059643
"240","Sub13","Int","conv","tsent","5",4,81.25,19.6192932254622
"241","Sub13","Int","lessClear","bsent","1",4,96,3.16227766016838
"242","Sub13","Int","lessClear","bsent","2",6,74.8333333333333,22.9731727601276
"243","Sub13","Int","lessClear","bsent","3",4,75.75,17.8208679175099
"244","Sub13","Int","lessClear","bsent","4",4,70,38.8072158238645
"245","Sub13","Int","lessClear","bsent","5",4,96.75,3.77491721763537
"246","Sub13","Int","lessClear","ksent","1",4,75.5,22.4722050542442
"247","Sub13","Int","lessClear","ksent","2",3,93.3333333333333,8.32666399786453
"248","Sub13","Int","lessClear","ksent","3",2,98,2.82842712474619
"249","Sub13","Int","lessClear","ksent","4",2,81,1.4142135623731
"250","Sub13","Int","lessClear","ksent","5",4,66.75,40.9420321918685
"251","Sub13","Int","lessClear","tsent","1",3,84.3333333333333,27.1354626519124
"252","Sub13","Int","lessClear","tsent","2",3,47.3333333333333,41.4286535302963
"253","Sub13","Int","lessClear","tsent","3",3,93.6666666666667,6.50640709864771
"254","Sub13","Int","lessClear","tsent","4",3,83,29.4448637286709
"255","Sub13","Int","lessClear","tsent","5",4,77,25.5473416751463
"256","Sub13","Int","moreClear","bsent","1",4,100,0
"257","Sub13","Int","moreClear","bsent","2",6,82.3333333333333,13.7937183770971
"258","Sub13","Int","moreClear","bsent","3",4,96.5,7
