"","ListenerID","StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","inUS","english","age","gender","Q2_8_TEXT","race","Q3_7_TEXT","ethnicity","Q1.2","Headphones","Q2.2","Practice1_4","Practice1_5","Practice1_6","Practice2_15","Practice2_16","Practice2_17","Q5"
"156","L156","2022-01-26 17:17:41","2022-01-26 17:24:11","100","390","True","2022-01-26 17:24:12","R_vqr2Alm917dgSyJ","anonymous","EN","Yes","Yes, it is my native language",19,"Man","","Asian American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","99","100","99","16","2","72","Yes, I am ready to begin."
"157","L157","2022-01-26 17:13:10","2022-01-26 17:24:33","100","683","True","2022-01-26 17:24:34","R_1IWcJttohTuNAQx","anonymous","EN","Yes","Yes, it is my native language",78,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","96","98","98","89","55","60","Yes, I am ready to begin."
"158","L158","2022-01-26 17:13:11","2022-01-26 17:25:46","100","755","True","2022-01-26 17:25:47","R_3kiAVa3Pgkkx7QK","anonymous","EN","Yes","Yes, it is my second language",20,"Woman","","White/Caucasian","","Hispanic/Latino","Yes, I can hear the audio.","","","95","100","100","100","100","100","Yes, I am ready to begin."
"159","L159","2022-01-26 17:48:09","2022-01-26 17:51:01","100","172","True","2022-01-26 17:51:01","R_2V9Cbys31NpU6v0","anonymous","EN","Yes","Yes, it is my native language",25,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","86","100","92","Yes, I am ready to begin."
"160","L160","2022-01-26 17:47:56","2022-01-26 17:51:12","100","195","True","2022-01-26 17:51:13","R_1dcSQJoXBB8XCS9","anonymous","EN","Yes","Yes, it is my native language",19,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","82","100","100","Yes, I am ready to begin."
"161","L161","2022-01-26 17:47:28","2022-01-26 17:51:18","100","230","True","2022-01-26 17:51:19","R_1QKoiIQMn1cFaiQ","anonymous","EN","Yes","Yes, it is my native language",38,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","99","99","99","74","99","94","Yes, I am ready to begin."
"162","L162","2022-01-26 17:47:42","2022-01-26 17:51:22","100","220","True","2022-01-26 17:51:23","R_1JF5EGQOYRGUOw8","anonymous","EN","Yes","Yes, it is my native language",21,"Woman","","White/Caucasian","","Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"163","L163","2022-01-26 17:47:59","2022-01-26 17:51:36","100","216","True","2022-01-26 17:51:36","R_3mf7uj4Lx62NqZq","anonymous","EN","Yes","Yes, it is my native language",28,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"164","L164","2022-01-26 17:48:09","2022-01-26 17:51:49","100","220","True","2022-01-26 17:51:50","R_25sFUpi0o7fzAbh","anonymous","EN","Yes","Yes, it is my native language",30,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"165","L165","2022-01-26 17:48:05","2022-01-26 17:51:56","100","231","True","2022-01-26 17:51:57","R_10ZB7YXU7iaNNYK","anonymous","EN","Yes","Yes, it is my native language",21,"Woman","","Biracial or Multiracial","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","97","97","98","Yes, I am ready to begin."
